"Arabian Delites" 7
D'Casa 7
"Big Bite Food Corner" 6
"Mizo Diner" 6
"Friends Restaurant" 6
"Cafe 8teen" 6
Ginza 6
"A State of Music - Radisson Blu" 6
"Nyx - The Royal Plaza" 6
"O.Y.S.T.E.R.S Water Park" 6
"Le Marche - Sugar & Spice" 5
"Noodle Box" 5
"Fursat Se - A Cultural Cafe" 5
"Gulfam Kashmiri Wazwan" 5
"Watchman's Kitchen" 5
"Chawla Chicken" 5
"Le Petit Cafe - The LaLit New Delhi" 5
"Foody Night" 5
"Hot n Hot" 4
"The Chef Restaurant" 4
"Jai Shri Krishna" 3
"Pluto's Platinum Lounge" 3
Foodhall 3
"Barbeque Creation By Kadhai Tadka" 3
Hype 3
Khalsa 3
"Liquid Lounge" 2
"360 oberoi" 1
"Mother Dairy Ice Cream" 1
OBar 1
"Keeva Lounge & Bar" 1
"Ballu Pistol Da Dhaba" 1
BTW 0
"Tandoor Bar-Be-Que" 0
"QQ'S The Bubble Tea Cafe" 0
"Level 2 - Radisson Blu" 0
"Indyaki - Radisson Blu" 0
Mela 0
"Apni Rasoi" 0
"Alkakori Alkauser" 0
"Cafe Dubstep" 0
"Art of Spices" 0
"London Street" 0
"The Pool Bar - Hyatt Regency" 0
"Flavours Of Punjab" 0
"Salad Chef" 0
